workerIdAnon,randCondNum,valid,dem_gender,dem_language,iwould_large,iexpectother_large,predicted_C_proport,total_time,emotion_order,val_notrecognized,val_recognized,val_familiar,val_trainingvideo,val_emomatch_contemptuous,val_expressionmatch_joyful,payoff_comprehension_CD12_p1,payoff_comprehension_CD12_p2,payoff_comprehension_DD42_p1,payoff_comprehension_CC42_p1
de4284021f8ac5c534c18e1997a424c7ac9abcdbbf3bcaf81ba94bc0,set38,1,male,English,split,notsure,40,1107.927,"['Proud', 'Apprehensive', 'Guilty', 'Disgusted', 'Joyful', 'Annoyed', 'Contemptuous', 'Furious', 'Devastated', 'Excited', 'Surprised', 'Embarrassed', 'Impressed', 'Hopeful', 'Jealous', 'Content', 'Grateful', 'Terrified', 'Relieved', 'Disappointed']",1,"No, I've never seen the show, actually.",No I was familiar with all of the emotions to rate and what they meant,7510,disdainful,AF25HAS,0,12000,0,21000
babdd25a99d7c8c475fafb445d1864969541185011b1aa5de9807f30,set32,1,male,English,notsure,split,30,1074.173,"['Excited', 'Surprised', 'Contemptuous', 'Terrified', 'Apprehensive', 'Hopeful', 'Content', 'Jealous', 'Impressed', 'Annoyed', 'Disappointed', 'Furious', 'Joyful', 'Proud', 'Relieved', 'Disgusted', 'Guilty', 'Devastated', 'Grateful', 'Embarrassed']",1,No.,"No, I understood all of them.",7510,disdainful,AF25HAS,0,12000,0,21000
95772273875842b82ac2889b5dd1c4f36a8e7d81bd0e2115e7c92275,set88,0,male,english,split,notsure,54,948.496,"['Furious', 'Guilty', 'Disappointed', 'Excited', 'Joyful', 'Devastated', 'Jealous', 'Contemptuous', 'Content', 'Terrified', 'Surprised', 'Apprehensive', 'Hopeful', 'Grateful', 'Disgusted', 'Annoyed', 'Proud', 'Relieved', 'Impressed', 'Embarrassed']",0,I had done one of these a long time ago but you couldn't skip the video.  ,I forgot what contemptuous meant for certain but I was correct in my guess.,7510,disdainful,AF25HAS,0,12000,0,42000
9ecbdbdab4e1250838810bcbe32bf464acc28cb4f66a6b6a43695a7e,set20,1,male,English,split,split,20,1079.663,"['Impressed', 'Content', 'Relieved', 'Surprised', 'Proud', 'Apprehensive', 'Guilty', 'Disappointed', 'Furious', 'Grateful', 'Disgusted', 'Contemptuous', 'Annoyed', 'Hopeful', 'Terrified', 'Excited', 'Embarrassed', 'Joyful', 'Jealous', 'Devastated']",1,No,"Yes, I knew the meaning of all of the emotion labels.",7510,disdainful,AF25HAS,0,12000,0,21000
cda72ee608134169d57e61e189ef75924ca617e41cc7b0fe205e49e9,set30,1,male,English,split,notsure,65,1338.38,"['Contemptuous', 'Joyful', 'Hopeful', 'Disappointed', 'Apprehensive', 'Grateful', 'Disgusted', 'Surprised', 'Impressed', 'Guilty', 'Excited', 'Content', 'Jealous', 'Terrified', 'Devastated', 'Relieved', 'Furious', 'Proud', 'Embarrassed', 'Annoyed']",1,No.,"Yes, I knew all the words.",7510,disdainful,AF25HAS,0,12000,0,21000
00ac2878de7611a4969380dbba6c7b8d2be9b79c4a4de6d3c46ec6cc,set93,1,female,English,split,notsure,69,765.967,"['Excited', 'Devastated', 'Impressed', 'Contemptuous', 'Hopeful', 'Disgusted', 'Apprehensive', 'Relieved', 'Furious', 'Embarrassed', 'Surprised', 'Content', 'Terrified', 'Guilty', 'Grateful', 'Joyful', 'Jealous', 'Disappointed', 'Proud', 'Annoyed']",1,"No, I did not.",I knew all of the emotions.,7510,disdainful,AF25HAS,0,12000,0,21000
2107766e9af68d7ed48230a4bd160c984cd281ea437752513d6c7c50,set117,1,male,English,steal,notsure,60,886.932,"['Terrified', 'Jealous', 'Disappointed', 'Furious', 'Devastated', 'Disgusted', 'Relieved', 'Guilty', 'Proud', 'Surprised', 'Embarrassed', 'Joyful', 'Contemptuous', 'Hopeful', 'Grateful', 'Annoyed', 'Impressed', 'Apprehensive', 'Excited', 'Content']",1,Nope,Understood them all.,7510,disdainful,AF25HAS,0,12000,0,21000
a0d9c8204f09a665fa8cf035acf4ce4bd9e01eeeadb4e0ac4873d30d,set82,1,female,English,split,notsure,30,1523.485,"['Proud', 'Disgusted', 'Hopeful', 'Surprised', 'Joyful', 'Content', 'Guilty', 'Furious', 'Impressed', 'Grateful', 'Jealous', 'Apprehensive', 'Disappointed', 'Devastated', 'Terrified', 'Annoyed', 'Embarrassed', 'Relieved', 'Excited', 'Contemptuous']",1,No,,7510,disdainful,AF25HAS,0,12000,0,21000
3b691154431e1277dde526bf0bdfc0e5f1c617d694782d48df3362c6,set109,1,male,English,notsure,steal,65,1294.365,"['Surprised', 'Jealous', 'Contemptuous', 'Devastated', 'Grateful', 'Furious', 'Disgusted', 'Proud', 'Guilty', 'Relieved', 'Hopeful', 'Annoyed', 'Excited', 'Joyful', 'Terrified', 'Disappointed', 'Apprehensive', 'Impressed', 'Content', 'Embarrassed']",1,no I don't,"yes, I knew all of those labels",7510,disdainful,AF25HAS,0,12000,0,21000
5f3f4f6ce2527d6e312257a455c92a05727a4c0184d4be0accba0c90,set5,1,male,English,split,split,36,951.635,"['Proud', 'Grateful', 'Disgusted', 'Annoyed', 'Furious', 'Devastated', 'Terrified', 'Excited', 'Impressed', 'Embarrassed', 'Contemptuous', 'Disappointed', 'Hopeful', 'Jealous', 'Content', 'Apprehensive', 'Guilty', 'Surprised', 'Relieved', 'Joyful']",1,No,Yes,7510,disdainful,AF25HAS,0,12000,0,0
680fae38c2d9282795fdf6f9a8c10b58d45189cef371ceec8d47f19d,set127,1,male,English,split,split,10,1193.143,"['Devastated', 'Joyful', 'Grateful', 'Guilty', 'Hopeful', 'Surprised', 'Apprehensive', 'Impressed', 'Jealous', 'Furious', 'Disappointed', 'Contemptuous', 'Terrified', 'Embarrassed', 'Annoyed', 'Proud', 'Content', 'Relieved', 'Excited', 'Disgusted']",1,no,yes,7510,disdainful,AF25HAS,0,12000,0,0
3c2d3f1dd59c861110b2890eee1bd7471f5062b1f6dae8a2967c4bb9,set69,1,male,english,split,split,37,1039.586,"['Proud', 'Impressed', 'Grateful', 'Furious', 'Jealous', 'Content', 'Guilty', 'Apprehensive', 'Joyful', 'Annoyed', 'Surprised', 'Terrified', 'Hopeful', 'Contemptuous', 'Disgusted', 'Excited', 'Embarrassed', 'Devastated', 'Relieved', 'Disappointed']",1,no,yes,7510,disdainful,AF25HAS,0,12000,0,21000
9b2ddd89f9aebf01075bbf8906d8c7500fcc3d09fdf73ee585ee3278,set57,1,male,English,split,notsure,40,3248.082,"['Proud', 'Joyful', 'Impressed', 'Disappointed', 'Relieved', 'Apprehensive', 'Terrified', 'Excited', 'Devastated', 'Jealous', 'Furious', 'Disgusted', 'Hopeful', 'Contemptuous', 'Content', 'Guilty', 'Annoyed', 'Surprised', 'Grateful', 'Embarrassed']",1,No not at all.,Yes I believe that I understood them well.,7510,disdainful,AF25HAS,0,12000,0,21000
c93a5614b9e3091747afe3024e0a67569529d04e8a6d3f2aa68f7320,set97,1,male,English,notsure,steal,60,901.444,"['Relieved', 'Grateful', 'Annoyed', 'Disgusted', 'Proud', 'Jealous', 'Terrified', 'Impressed', 'Disappointed', 'Embarrassed', 'Furious', 'Apprehensive', 'Excited', 'Hopeful', 'Contemptuous', 'Joyful', 'Content', 'Guilty', 'Surprised', 'Devastated']",1,no,knew them all,7510,disdainful,AF25HAS,0,12000,0,21000
200c9472ba554268475972919d5cc27bfc1e226e5cc417bcaaa07e1b,set121,1,male,English,steal,notsure,40,701.235,"['Relieved', 'Contemptuous', 'Grateful', 'Guilty', 'Jealous', 'Devastated', 'Proud', 'Disappointed', 'Hopeful', 'Joyful', 'Embarrassed', 'Disgusted', 'Furious', 'Surprised', 'Content', 'Terrified', 'Annoyed', 'Impressed', 'Apprehensive', 'Excited']",1,no,Yes I understood the labels,7510,disdainful,AF25HAS,0,12000,0,21000
701c03a685f512c0d739c0d37fad44b324a47ca999a96571ceda2d83,set11,1,female,English,split,split,20,3198.262,"['Hopeful', 'Surprised', 'Excited', 'Proud', 'Terrified', 'Contemptuous', 'Grateful', 'Annoyed', 'Impressed', 'Apprehensive', 'Relieved', 'Devastated', 'Embarrassed', 'Joyful', 'Disappointed', 'Content', 'Jealous', 'Furious', 'Disgusted', 'Guilty']",1,"no, none","yes, all",7510,disdainful,AF25HAS,0,12000,0,21000
918c87fbe3f9455df479ce692424d43f4f016fbb55170d86e48040a1,set85,1,female,English,notsure,steal,42,1773.575,"['Surprised', 'Embarrassed', 'Annoyed', 'Relieved', 'Jealous', 'Proud', 'Grateful', 'Furious', 'Terrified', 'Guilty', 'Devastated', 'Disappointed', 'Joyful', 'Excited', 'Contemptuous', 'Apprehensive', 'Impressed', 'Hopeful', 'Disgusted', 'Content']",1,no,On most of them I did know the emotions labeled,7510,disdainful,AF25HAS,6000,12000,42000,21000
8e568ce1b1b5fcb39ef3b04b35c6de589e0a41bc4bc42a2ab29d3c88,set93,1,female,English,notsure,notsure,50,1192.084,"['Annoyed', 'Guilty', 'Content', 'Impressed', 'Proud', 'Joyful', 'Apprehensive', 'Surprised', 'Relieved', 'Furious', 'Hopeful', 'Devastated', 'Terrified', 'Embarrassed', 'Excited', 'Contemptuous', 'Grateful', 'Jealous', 'Disgusted', 'Disappointed']",1,No,I knew all of them,7510,disdainful,AF25HAS,0,12000,0,21000
